energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization_uB,total_magnetization_T,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_xrd_lin1_0,tsne_xrd_lin1_1,tsne_xrd_lin2_0,tsne_xrd_lin2_1
-5.451798765,-87.22878024,5.894777859296689,-2.060132158750001,0.0,0.0,0.0,123,16,246.21220434408215,874.0332000000002,mp-22601,Ba2Ca2Cu3HgO8,https://materialsproject.org/materials/mp-22601,-0.7368937455799465,26.141135639268555,-0.2373643791300135,20.412451092939765
-5.442348586122448,-266.67508072,5.989164022422831,-2.033646294464286,0.0232625,0.0003706464466534482,0.0,12,49,731.4320269881042,2638.099,mp-1228760,Ba6Ca6Cu9Hg3O25,https://materialsproject.org/materials/mp-1228760,17.484377253453008,52.43671096674326,3.920638819267636,47.10554313783138
-5.42661103060606,-179.07816401,6.1284698048826005,-2.0096490126893936,0.11973339999999999,0.0029193147556164103,0.0,139,33,477.98230607174315,1764.0658,mp-1228265,Ba4Ca4Cu6Hg2O17,https://materialsproject.org/materials/mp-1228265,17.407779479016412,52.338742278933296,4.783349182206568,48.692850846598795
-7.0004915710416675,-336.02359541,6.494332600861597,-0.5268629115104156,3.4523764999999997,0.03608878718687555,0.0,225,48,1114.8675942453103,4360.22327,mp-582023,La21Fe8Sb7C12,https://materialsproject.org/materials/mp-582023,-0.3236970745747693,26.256927209587122,4.18888023034797,48.42460801765545
-6.7832572375,-54.2660579,7.4627347570621625,-1.357282190595,4.8e-06,2.5100071829909514e-07,0.0,129,8,222.86593953738569,1001.59608,mp-1078349,La2BiN,https://materialsproject.org/materials/mp-1078349,-3.8191373471289976,19.382587499219976,3.783414430635207,47.11110716090003
-8.0189480403125,-513.21267458,5.920966652855368,-0.2774236934375001,9.000000000000001e-07,9.795690765210968e-09,0.3475000000000001,148,64,1070.7420790123147,3817.93381,mp-1195612,La11(MnC6)3,https://materialsproject.org/materials/mp-1195612,-1.8468073785290584,26.5644517660647,0.1957441536205964,20.47450624637341
-7.036792009791667,-337.76601647,6.375248615329079,-0.4637944816145835,7.7994518,0.0805637046208492,0.0,225,48,1128.241518875416,4331.61763,mp-1201735,La21Mn8Sn7C12,https://materialsproject.org/materials/mp-1201735,-0.2515257905615928,26.25609968460063,-13.771895956210122,43.951073601589634
-5.512541256363637,-303.18976910000003,6.518685265735017,-1.969709482613636,0.0938163,0.0013746746892308744,0.0,123,55,795.3454337139301,3122.2431,mp-680433,Ba6Ca6Tl5Cu9O29,https://materialsproject.org/materials/mp-680433,17.432472735638758,52.42037051285153,4.9303956800924995,37.21879305719278
-6.7492049925,-26.99681997,3.4363844469019216,-2.0498341095312504,0.9555483,0.0669217831738382,0.0,129,4,166.40354236500255,344.36199999999997,mp-20560,CeS,https://materialsproject.org/materials/mp-20560,-6.615874676799204,19.32439204350952,5.825542431532754,48.12844890578361
-5.528091175,-409.07874695,6.52906163123588,-1.9874769651520272,0.033272300000000005,0.00035988162186356205,0.0,139,74,1077.4585746394243,4236.4517,mp-1204270,Ba8Ca8Tl7(Cu4O13)3,https://materialsproject.org/materials/mp-1204270,17.470391037117395,52.41614400525231,4.882120943797106,37.174798912542855
