energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization_uB,total_magnetization_T,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_xrd_lin1_0,tsne_xrd_lin1_1,tsne_xrd_lin2_0,tsne_xrd_lin2_1
-5.684820185,-22.73928074,4.931482516987247,-1.7856208418750017,0.0,0.0,0.6652,166,4,32.95599824178493,97.87299499999999,mp-22526,LiCoO2,https://materialsproject.org/materials/mp-22526,25.730800407691213,-70.604869523823,-11.392010356516506,-73.55761627892656
-5.662314154285713,-317.08959264,4.805378197637887,-1.8279658715178573,1.0,0.025251171844674087,0.0,2,56,461.5257004406209,1335.593735,mp-769537,Li14MgCo13O28,https://materialsproject.org/materials/mp-769537,25.605365586597838,-70.01816011432693,-6.629869292081119,-73.74765844651598
-5.5848110053125,-178.71395217,4.600337139228684,-1.7896123399999997,2.0,0.08833554823093523,0.5794999999999999,2,32,263.85900140886713,730.991765,mp-1175469,Li9Co7O16,https://materialsproject.org/materials/mp-1175469,25.49317571643505,-70.73103617241927,-6.15006415284724,-73.67967230519923
-5.5822807825,-178.63298504,4.606278337079943,-1.7870821171874995,2.0,0.08844963094997424,0.3640999999999997,2,32,263.51867492021654,730.991765,mp-1175381,Li9Co7O16,https://materialsproject.org/materials/mp-1175381,25.449949195700345,-70.87643907452845,-5.9528551956903915,-73.56955096535737
-5.482923534096386,-455.08265333,4.889874609199031,-1.5606817338855423,0.001056,1.769199993663173e-05,0.0,2,83,695.6077573989653,2048.391895,mp-532301,Li20(CoO2)21,https://materialsproject.org/materials/mp-532301,25.5145899054905,-70.01198409806057,-6.515021700599399,-73.65901792442385
-5.705891076666666,-85.58836615,4.809031245153899,-1.6739432873333338,0.9999709000000001,0.08776459947138968,0.0,166,15,132.78389817153786,384.55098,mp-850808,Li3(CoO2)4,https://materialsproject.org/materials/mp-850808,25.78043093159809,-71.33157543659432,-6.782516973180028,-73.7713386047315
-6.029520428333334,-72.35424514,4.456399210959118,-1.2676030608333342,4.9999982,0.4382970250077219,0.3745999999999999,166,12,132.94706457214778,356.790885,mp-754623,CrCo3O8,https://materialsproject.org/materials/mp-754623,25.58228394162768,-70.12158904819248,-6.3006658223993055,-73.53791028057344
-5.036975062857144,-70.51765088,4.771493832347615,-1.2008300192857146,1.0000003,0.08885206670922045,0.0,166,14,131.16260206888072,376.890595,mp-752703,Li2CoNi3O8,https://materialsproject.org/materials/mp-752703,25.891736031558004,-69.71627635964829,-6.695899291713077,-73.8178487136219
-5.6225713807272735,-309.24142594,4.746108945298579,-1.7476774011818184,3.0000002,0.0762059696574716,0.0,2,55,458.78553616782403,1311.2887349999999,mp-777836,Li14Co13O28,https://materialsproject.org/materials/mp-777836,25.689753235078587,-70.63900899425862,-6.117958698318079,-73.64435844769248
-4.810205378928573,-269.37150122,4.749224943387376,-1.0898987539285727,0.9999987875,0.022123389474876437,0.7825000000000002,212,56,526.775097244508,1506.6032,mp-774941,Li(NiO2)2,https://materialsproject.org/materials/mp-774941,25.773065996126533,-69.75970599966503,-6.694779986940915,-73.76034038113053
-6.03357253,-72.40287036,4.474281838819422,-1.2837638917466652,5.999998000000001,0.5237483955612634,0.7133000000000002,166,12,133.50755041892913,359.73283,mp-773602,MnCo3O8,https://materialsproject.org/materials/mp-773602,25.072329023824512,-69.96184320258844,-7.425029682717711,-72.77717676642408
-5.48005367375,-87.68085878,4.855366257937684,-1.6822129468749996,1.0000002000000001,0.08709508429927923,0.0,166,16,133.80855185037223,391.252185,mp-867537,Li4Co3NiO8,https://materialsproject.org/materials/mp-867537,24.916887398058172,-70.25502156513086,-6.657713125490103,-73.90291003282171
-5.553550925833334,-133.28522222,4.506932456176835,-1.7930191531250006,1.9999999,0.11819146413278216,0.7486999999999999,12,24,197.20652883635827,535.245775,mp-1174196,Li7Co5O12,https://materialsproject.org/materials/mp-1174196,25.629963925034662,-70.60141536213584,-6.3063762383998245,-74.16270682133322
-5.602707979375,-89.64332767,4.426974164279542,-1.9304873475000008,0.9999199000000001,0.08705586972927461,0.0,166,16,133.8580766375684,356.863785,mp-754576,Li4MgCo3O8,https://materialsproject.org/materials/mp-754576,24.761680778435828,-69.78647202122876,-14.64321308572574,-72.3134964530222
-5.850491372857142,-81.90687922,4.603686670561479,-1.6317713214285712,3.0000002,0.2588083558247272,0.0,166,14,135.0891339542742,374.521785,mp-867710,Li2FeCo3O8,https://materialsproject.org/materials/mp-867710,24.271357590036448,-69.34440706565952,-15.017889185592663,-72.13839502777539
-5.69321682,-62.62538502,4.82132445227102,-1.6129968684090903,0.9982821,0.11782939184399376,0.0,12,11,98.73635153859064,286.67798500000004,mp-758539,Li2(CoO2)3,https://materialsproject.org/materials/mp-758539,25.565838891329104,-72.00743933679631,-5.2373090606947805,-72.24690185636618
-5.973895771333332,-89.60843657,4.690390695279786,-1.7924543307306664,3.0000002999999995,0.2595017406091793,0.08630000000000004,166,15,134.72818229205276,380.55583,mp-774219,Li3MnCo3O8,https://materialsproject.org/materials/mp-774219,23.627463244305567,-72.41383298797007,-10.53188195633956,-71.96193250454887
-5.176187558947369,-196.69512724,4.684537242051493,-1.428250683552632,0.92632895,0.03161181922604693,0.0,10,38,341.50193972709206,963.40918,mp-778996,Li4Co2Ni3O10,https://materialsproject.org/materials/mp-778996,23.11917687820869,-71.15157825608856,-8.3435323576574,-75.46304726499025
-5.71471844263158,-217.15930082,4.800465324539613,-1.6978009438157895,3.0000001,0.1050911980862924,0.0947,2,38,332.68433626931744,961.759755,mp-764865,Li8FeCo9O20,https://materialsproject.org/materials/mp-764865,25.24343924740896,-72.32856188331313,-4.77045107394181,-72.22828561558414
-5.558993895833333,-133.4158535,4.5074588957594806,-1.798462123125,1.9939798,0.1178494658893731,0.6214,12,24,197.18349649704328,535.245775,mp-771155,Li7Co5O12,https://materialsproject.org/materials/mp-771155,25.61418920216617,-70.78474071794729,-6.3341816067501595,-74.4810013545848
-5.3627947675,-64.35353721,4.630337997114856,-0.9349980150000002,3.0000033,0.26820845510888125,1.1472,166,12,130.35470027184505,363.488185,mp-752738,Co3NiO8,https://materialsproject.org/materials/mp-752738,25.743052202147574,-72.15704132453689,-4.881389051438334,-72.05601772813127
-5.648955319583332,-135.57492767,3.9916313397328143,-2.0753638772916663,2.9999999,0.17774363549046576,0.0,12,24,196.7001128102164,472.831,mp-756986,Li7Si2(NiO4)3,https://materialsproject.org/materials/mp-756986,25.635250248657478,-71.909277244143,-5.544656962819053,-73.71049976163906
-5.583560195,-178.67392624,4.610821642195161,-1.7883615296874993,3e-07,1.3280530705625423e-08,0.10980000000000034,2,32,263.2590149644369,730.991765,mp-1175409,Li9Co7O16,https://materialsproject.org/materials/mp-1175409,25.48724213258903,-70.70899623616722,-6.023374288617574,-73.70451569284579
-6.1754748557142864,-86.45664798,4.598148300819519,-1.8374423421428572,0.0,0.0,0.2413000000000003,166,14,133.48103453534895,369.618285,mp-754294,Li2VCo3O8,https://materialsproject.org/materials/mp-754294,24.622518777488352,-69.4244015591535,-14.852693651995207,-72.26159014992966
-6.077088647142857,-85.07924106,4.5783316741174325,-1.7228776678571427,0.9999998999999999,0.08668515439140599,0.0,166,14,134.4412856961884,370.672885,mp-761748,Li2CrCo3O8,https://materialsproject.org/materials/mp-761748,24.62541426347508,-69.48109674354887,-14.656392238863747,-72.13655802389249
-5.5962426475,-44.76994118,4.72953379174407,-1.6356887381249994,1.0000001,0.17229002254653425,0.0,166,8,67.64214065163578,192.657795,mp-1222775,Li2FeCoO4,https://materialsproject.org/materials/mp-1222775,23.85722926030127,-69.45321213407735,-11.346887840577658,-74.16046791848807
-6.611106175,-26.4444247,3.2951600178770812,-3.083879621875,0.0,0.0,6.1195,166,4,33.21992125434992,65.92133860000001,mp-8001,LiAlO2,https://materialsproject.org/materials/mp-8001,25.88123821428607,-71.36214151900992,-11.381217901200774,-73.40958523405796
-5.568578685,-178.19451792,4.543354132044165,-1.7733800196875,3.9999997000000005,0.1744827110772237,0.2925,10,32,267.1683360845282,730.991765,mp-1175506,Li9Co7O16,https://materialsproject.org/materials/mp-1175506,25.280295639523946,-70.8607299387185,-9.574088006569417,-75.5832966821492
-4.868820472083333,-116.85169133,4.435763066898929,-1.4461507535416664,3.0001201,0.17488638514998972,0.5345,5,24,199.92176029524572,534.0468,mp-755638,Li7Ni5O12,https://materialsproject.org/materials/mp-755638,25.28554999619768,-70.5192913256917,-6.528692911844707,-74.8704634309293
-6.387468618333332,-38.32481171,4.342674997336344,-1.4507929159933326,4.0,0.6854026573772583,1.1515,10,6,68.01295353685842,177.86883999999998,mp-752945,MnCoO4,https://materialsproject.org/materials/mp-752945,24.361086888880855,-70.49907430348489,-7.32520508069875,-71.23763742137275
-6.45105055875,-309.65042682,4.325629492973771,-1.4626526139899998,8.999999825,0.19432624366536602,1.1403,212,48,539.7448071614705,1406.01094,mp-775810,Mn3NiO8,https://materialsproject.org/materials/mp-775810,24.058126079229172,-69.54500837671617,-8.489435005902642,-72.7906466035652
-4.807945034038462,-250.01314177,4.9465464425357455,-1.1593829877884618,9.000016699999998,0.2246427718718973,0.0,2,52,466.9047514946561,1390.8532,mp-759153,Li9Ni15O28,https://materialsproject.org/materials/mp-759153,25.021066030126942,-71.84985675560159,-5.5000795372976805,-74.21017797256991
-7.2455687328571425,-405.75184904,3.527796851053026,-2.8669670425000007,3.000000925,0.0670186456585733,2.9845999999999995,212,56,521.6787769153686,1108.3008,mp-766402,Li2VSi3O8,https://materialsproject.org/materials/mp-766402,26.064540957062768,-69.6304977770508,-6.744198912320128,-73.75631023522875
