energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization,band_gap,sgr,mp_id,formula,URL,cell_volume
-4.898759388999999,-48.98759389,5.598935124362283,-0.16142029800000018,2.99470705,0.0,148,mp-541449,CrGeTe3,https://materialsproject.org/materials/mp-541449,300.99204067892026
-3.726349722,-37.26349722,5.2266380416235085,-0.2054655436666664,0.0,0.4898999999999996,162,mp-567931,InSiTe3,https://materialsproject.org/materials/mp-567931,334.0392727649003
-5.078542263,-50.78542263,5.007806383718786,-0.18068898000000005,2.9999999,0.5246000000000004,148,mp-3779,CrSiTe3,https://materialsproject.org/materials/mp-3779,306.9739158433193
-5.16819783,-51.6819783,8.79697599632291,-0.2791424174374996,0.0017420000000000003,0.0,72,mp-12464,Co(PdSe)2,https://materialsproject.org/materials/mp-12464,162.2199096185055
-3.8074976960000004,-38.07497696,4.339510598034652,-0.4228073460000005,1.555e-05,1.3322000000000005,9,mp-1228524,Al2Te3,https://materialsproject.org/materials/mp-1228524,334.25987771505953
-1.9660669659999999,-19.66066966,3.090870239613694,0.32322859800000003,1.12301625,0.0,227,mp-1214528,Ba4Al,https://materialsproject.org/materials/mp-1214528,619.2115507951503
-3.2820194839999997,-32.82019484,4.0225369089549,-1.0918494335999998,0.0,1.7749,225,mp-1112213,K2YCuI6,https://materialsproject.org/materials/mp-1112213,409.53750176565774
-3.1921957460000003,-31.92195746,3.423276822321295,-1.3425467556034485,0.0,2.3922,225,mp-1114633,Rb3ScI6,https://materialsproject.org/materials/mp-1114633,515.5288207629958
-2.668200363,-26.68200363,3.9789097662158084,-0.9034621734022988,0.0,0.8989000000000003,225,mp-1114521,Rb2AlInI6,https://materialsproject.org/materials/mp-1114521,448.2855787992804
-2.4532238580000003,-24.53223858,4.248269572573616,-0.7337872272666669,1.4e-06,0.0,225,mp-1112466,K2GaAgI6,https://materialsproject.org/materials/mp-1112466,397.6029674466933
-3.1963309669999997,-31.96330967,3.462180476279225,-1.2957347005500002,0.0,2.1954,225,mp-1111618,K2NaScI6,https://materialsproject.org/materials/mp-1111618,435.29039993685456
-2.463531124,-24.63531124,4.571039755379681,-0.7628548637356322,2e-07,0.0,225,mp-1113726,Rb2GaAgI6,https://materialsproject.org/materials/mp-1113726,403.21708347212353
-5.608442355999999,-56.08442356,5.192122477602394,-1.1899784559999993,1.25e-06,0.0,15,mp-32654,Sc2Te3,https://materialsproject.org/materials/mp-32654,302.36437672945027
-3.1952048210000004,-31.95204821,3.1726908327755687,-1.3174152748999999,0.0,2.3346,225,mp-1111693,K3ScI6,https://materialsproject.org/materials/mp-1111693,483.43908976751277
-3.133261366,-31.33261366,4.343892662335699,-0.6306572942666666,2.9999999,0.2502000000000002,225,mp-1112093,K2AgMoI6,https://materialsproject.org/materials/mp-1112093,398.8724112830171
-5.765605571,-57.65605571,6.307676942334943,-0.7213055516666664,0.3600893,0.0,148,mp-1217180,Ti2Te3,https://materialsproject.org/materials/mp-1217180,251.95468830501318
-2.689453548,-26.89453548,3.7662068691908313,-1.1345906698620687,0.0,2.107,225,mp-1112654,Cs3AlI6,https://materialsproject.org/materials/mp-1112654,523.4090961836949
-4.597327375,-45.97327375,4.981197833806816,-0.5712760804374994,1.05e-06,1.0678,12,mp-1205627,Nb(SeI)2,https://materialsproject.org/materials/mp-1205627,336.45186470439285
-7.534411368666666,-113.01617053,5.985291974257232,-1.2398617348333336,2e-07,0.0,148,mp-2945,Yb(Mo3S4)2,https://materialsproject.org/materials/mp-2945,278.8792677428476
-3.439982767,-34.39982767,3.4806016477802415,-0.3131376034759999,5.65e-06,0.0,194,mp-13288,Ba3LiN,https://materialsproject.org/materials/mp-13288,413.0866330796138
-2.8861212166666665,-34.6334546,4.6026556829639915,-0.5907387617241376,0.0,2.0173,63,mp-1103650,RbCu2I3,https://materialsproject.org/materials/mp-1103650,428.0803929077333
-2.645138133,-26.45138133,3.6165299634554122,-0.0698348150000001,0.0104645,0.0,227,mp-1214438,Ba4Pd,https://materialsproject.org/materials/mp-1214438,602.158397482634
-9.675885841052633,-183.84183098,6.901797829462623,-1.6582682746136843,1.76e-05,0.0,2,mp-674456,Zr10HN8,https://materialsproject.org/materials/mp-674456,246.68257126776527
-8.104233075,-81.04233075,6.160974532228037,0.906253104999999,0.00021219999999999998,0.0,227,mp-1207454,Zr4Mo,https://materialsproject.org/materials/mp-1207454,248.41400172472459
-3.889272507,-38.89272507,4.415155392353547,-0.7133178529202585,3.0000001,0.04620000000000024,72,mp-8770,Cs2CoSe2,https://materialsproject.org/materials/mp-8770,363.0597376716916
-7.724998678666665,-115.87498018,6.094297054570613,-1.2338263508333331,3.3e-06,0.0,148,mp-1103493,Tm(Mo3S4)2,https://materialsproject.org/materials/mp-1103493,272.772397462349
-7.745645501333332,-116.18468252,6.005494135016747,-1.2459887981666669,3.11e-05,0.0,148,mp-1103518,Dy(Mo3S4)2,https://materialsproject.org/materials/mp-1103518,275.02678787010313
-2.470373001,-24.70373001,3.361018047557095,-0.9321504806344828,1e-07,0.9854,225,mp-1111285,K2RbGaI6,https://materialsproject.org/materials/mp-1111285,491.49627478431034
-2.884721657,-57.69443314,4.293996309207459,-0.9353286547325717,2e-07,1.4004,14,mp-31276,Cd2PCl2,https://materialsproject.org/materials/mp-31276,505.35770519832386
-3.496306912727273,-76.91875208,3.411631637730044,-0.7909142824545458,5.00000005,1.3409,186,mp-14782,Na6MnTe4,https://materialsproject.org/materials/mp-14782,684.6098729210929
-3.1971539439999996,-31.97153944,3.787651185667064,-0.84357707705,3.0,1.0859,225,mp-1111633,K2NaMoI6,https://materialsproject.org/materials/mp-1111633,420.2380089114841
-3.769038805,-37.69038805,4.858152997036388,-0.5161176954827589,4.4e-06,0.9630999999999998,63,mp-8857,Cs2As2Pd,https://materialsproject.org/materials/mp-8857,356.8946600330458
-2.603694007,-26.03694007,3.5836329844175046,-0.9131343623689656,8e-06,2.0398,225,mp-1114510,KRb2AsI6,https://materialsproject.org/materials/mp-1114510,484.8595547259148
-2.14937492,-21.4937492,4.7424274776504065,-0.14010389648275884,4.5e-07,0.07189999999999985,119,mp-567752,Cs2In3,https://materialsproject.org/materials/mp-567752,427.3628652319672
-5.8494194440000005,-58.49419444,7.092542774717673,-0.6120094700000003,1.2e-06,0.0,43,mp-30686,Zr2Ga3,https://materialsproject.org/materials/mp-30686,183.37438007303822
-3.345311322,-33.45311322,3.9327961755780407,-1.3930336040689653,0.0,2.9884,225,mp-1114584,Rb2LiYI6,https://materialsproject.org/materials/mp-1114584,434.139364945337
-3.2204523325000003,-38.64542799,4.386788312434937,-1.5933548133333335,1.1e-06,2.819500000000001,15,mp-1101345,SrCaI4,https://materialsproject.org/materials/mp-1101345,480.9745747163184
-3.202287188,-32.02287188,3.4796654695092903,-0.8715170413999995,2.9976333,1.4013000000000002,225,mp-1111267,K3MoI6,https://materialsproject.org/materials/mp-1111267,465.12052696887207
-6.481263307000001,-64.81263307,5.6211123127757965,0.6113196259999996,0.0007004,0.0,227,mp-1207459,Zr4Zn,https://materialsproject.org/materials/mp-1207459,254.23375725234322
-6.36215858,-69.98374438,4.833394542410892,-2.366040772585228,7.140000000000001e-05,0.0,121,mp-1223154,La4S7,https://materialsproject.org/materials/mp-1223154,267.99966401982925
-3.2053252270000003,-32.05325227,4.4757223733075335,-0.5756592856000001,3.0000001,0.06190000000000007,225,mp-1112050,K2CuMoI6,https://materialsproject.org/materials/mp-1112050,370.6798721556361
-3.2961945439999996,-32.96194544,3.6995623852217623,-1.4008739385189657,0.0,3.1384,225,mp-1114603,Rb2NaYI6,https://materialsproject.org/materials/mp-1114603,468.7125290777737
-3.4983157131818183,-76.96294569,2.9740359922191537,-0.9173233757272724,5.000000099999999,1.4227000000000003,186,mp-18246,K6MnTe4,https://materialsproject.org/materials/mp-18246,893.2719168703904
-3.2943930089999998,-32.94393009,4.341413578709029,-1.1229833290689657,0.0,1.7520999999999998,225,mp-1112410,Rb2YCuI6,https://materialsproject.org/materials/mp-1112410,414.9285512254193
-2.8693231775,-22.95458542,3.2068380753689016,-0.3736994562499998,0.00919455,2.9445,148,mp-1078195,SiI3,https://materialsproject.org/materials/mp-1078195,423.3619120206791
-2.490517903,-24.90517903,3.6400283466369645,-0.9710557531034482,0.0,0.976,225,mp-1114499,Rb3GaI6,https://materialsproject.org/materials/mp-1114499,496.1292627174754
-2.6419347866666665,-31.70321744,3.723767528393594,-0.9167747635632184,0.0,1.3732,194,mp-383,Rb2Te,https://materialsproject.org/materials/mp-383,532.5037235540622
-3.2613318855555558,-29.35198697,3.920413969781236,-1.6519144461111108,0.0,3.6671,162,mp-754710,Sr2CaI6,https://materialsproject.org/materials/mp-754710,413.7121534178896
-7.40054748625,-118.40875978,6.7462340104042555,-0.5146390954166664,5e-08,0.0,140,mp-16687,Ti5Sb2Rh,https://materialsproject.org/materials/mp-16687,288.36182582454893
-2.581767515,-25.81767515,3.546854622679408,-0.9005880556034483,0.0,2.1626,225,mp-1114618,Rb3AsI6,https://materialsproject.org/materials/mp-1114618,511.59611858302713
-3.215874447,-32.15874447,3.454127579847746,-1.3568452713689656,0.0002469,2.339,225,mp-1110633,KRb2ScI6,https://materialsproject.org/materials/mp-1110633,488.6326458201376
-3.913955380833333,-46.96746457,5.5993627259569525,-0.07209753166666626,0.0,0.16829999999999945,9,mp-675120,Cu2SiTe3,https://materialsproject.org/materials/mp-675120,319.0836833093094
-3.4166562380000003,-34.16656238,5.226649482279611,-0.3189397000000003,1.4e-06,0.6164000000000005,9,mp-38970,Ga2Te3,https://materialsproject.org/materials/mp-38970,331.84160308588554
-5.28120700625,-84.4993121,6.076725854741238,-1.431022527142857,0.0,0.1745000000000001,218,mp-4198,Ag3PO4,https://materialsproject.org/materials/mp-4198,228.76191644033074
-3.253698757,-32.53698757,4.339266505788,-0.8619251480689656,2.9999999,0.9751999999999996,225,mp-1114569,Rb2LiMoI6,https://materialsproject.org/materials/mp-1114569,396.1642163531827
-2.55016442,-20.40131536,3.359716944233712,-0.058421403035714636,0.0,2.2779,173,mp-27529,PI3,https://materialsproject.org/materials/mp-27529,406.9525098216965
-3.2506272000000003,-32.506271999999996,3.0845222092914772,-1.368733129634483,0.0,3.1274,225,mp-1114560,K2RbYI6,https://materialsproject.org/materials/mp-1114560,545.8808875191668
