energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization,band_gap,sgr,mp_id,formula,URL,cell_volume
-6.92153530631579,-263.01834164,8.919187968952887,-0.06350362236842133,25.2135278,0.0,194,mp-1200096,Sm2Co17,https://materialsproject.org/materials/mp-1200096,485.0199626868257
-5.843046839473684,-222.03577990000002,8.969397974050366,-0.17657008289473713,6.90658525,0.0,194,mp-1203310,Sm2Ni17,https://materialsproject.org/materials/mp-1203310,480.79545625754247
-7.698271164473684,-292.53430425,7.956223535981652,-0.06110907631578979,70.0937465,0.0,1,mp-1219432,Sm4Ga3Fe31,https://materialsproject.org/materials/mp-1219432,530.4985153999187
-7.96430413736842,-302.64355722,8.002321137345374,-0.0050900210526334064,77.616839,0.0,1,mp-1219400,Sm4Fe31Co3,https://materialsproject.org/materials/mp-1219400,520.7256776127119
-8.079566287894735,-307.02351894,7.933933412080816,0.01718421210526344,72.9002399,0.0,8,mp-1219321,Sm4CrFe33,https://materialsproject.org/materials/mp-1219321,522.4695529475814
-6.32317849763158,-240.28078291,8.771553226999572,-0.06993519868421129,5.29842525,0.0,194,mp-1201182,Eu2Ni17,https://materialsproject.org/materials/mp-1201182,492.85453760490236
-8.063346318421052,-306.4071601,7.888907145044455,0.004741500000000387,74.402764,0.0,8,mp-1219455,Sm4ZrFe33,https://materialsproject.org/materials/mp-1219455,533.7086652081811
-8.060165994210527,-306.28630778,7.922944026709255,-0.009193823333333741,73.47179890000001,0.0,8,mp-1219364,Sm4TiFe33,https://materialsproject.org/materials/mp-1219364,522.3288334771349
-8.128161197105264,-308.87012549,8.067690286560667,0.030529986578946032,58.627867,0.0,8,mp-1219348,Sm4Cr3Fe31,https://materialsproject.org/materials/mp-1219348,512.2229533758339
-8.043115152894737,-305.63837581,7.820210502769897,0.024174346776314786,80.29408559999999,0.0,8,mp-1217543,TbNd3Fe34,https://materialsproject.org/materials/mp-1217543,528.8061561384013
-7.922327966052633,-301.04846271,8.993305065660659,-0.07829002500000115,25.2539845,0.0,194,mp-1201816,Gd2Co17,https://materialsproject.org/materials/mp-1201816,486.1114617954486
-5.8165023599999985,-221.02708968,8.826559620963108,-0.14489439657894745,0.00275865,0.0,194,mp-570596,Nd2Ni17,https://materialsproject.org/materials/mp-570596,483.97215487635555
-6.840154764473684,-259.92588105,9.140725967537046,-0.18767175078947373,7.224603999999999,0.0,194,mp-580102,Gd2Ni17,https://materialsproject.org/materials/mp-580102,476.7903843424962
-9.062966750789473,-344.39273653,8.05598812002439,-0.011180335526316148,25.53958995,0.0,194,mp-1196805,Gd2Fe17,https://materialsproject.org/materials/mp-1196805,521.0278720677273
-8.032169318684211,-305.22243411,7.830746189874352,0.036007993026315355,79.29249759999999,0.0,8,mp-1219904,Pr3DyFe34,https://materialsproject.org/materials/mp-1219904,526.7315204688493
-8.025294905789472,-304.96120642,8.049072759701362,0.04041423874999856,67.8418983,0.0,8,mp-1220953,Nd3ErFe34,https://materialsproject.org/materials/mp-1220953,515.4896633693174
-7.025709915050506,-695.54528159,5.76858156223283,-2.158196796313132,7.000002,0.0,148,mp-1219719,Sm4V20(CuO4)15,https://materialsproject.org/materials/mp-1219719,1017.1284627900594
-8.062767555789472,-306.38516712,8.073479916831065,-0.004004588486843001,79.69770159999999,0.0,8,mp-1217679,Tb3SmFe34,https://materialsproject.org/materials/mp-1217679,519.5156523634362
-8.058580266578947,-306.22605013,8.022063861380085,0.0014655024342094913,79.79218990000001,0.0,8,mp-1217666,Tb3NdFe34,https://materialsproject.org/materials/mp-1217666,521.5789951675912
-7.016000577105262,-266.60802193,8.881028031464211,-0.08230954473684224,21.3347497,0.0,164,mp-1219324,Sm2ZrCo16,https://materialsproject.org/materials/mp-1219324,499.1792036758684
-7.257942815,-275.80182697,8.346694593468339,-0.0039042439473686687,58.531045400000004,0.0,8,mp-1220144,Pr3ErMn6(FeCo13)2,https://materialsproject.org/materials/mp-1220144,510.0099059437315
-6.940065323157895,-263.72248228,9.059164497692887,-0.0913898936842103,25.30538565,0.0,194,mp-1199370,Tb2Co17,https://materialsproject.org/materials/mp-1199370,483.8058310211241
-8.067493687105264,-306.56476011,8.190818260171993,-0.011069783421054294,39.1265558,0.0,194,mp-1194635,Tb2Fe17,https://materialsproject.org/materials/mp-1194635,513.8097501645071
-7.9379476136842095,-301.64200932,7.860052349039388,-0.1117343269736855,65.1458873,0.0,1,mp-1219345,Sm4Fe31Si3,https://materialsproject.org/materials/mp-1219345,510.59999513675604
-5.855406866315789,-222.50546092,9.205298930750713,-0.19828636421052626,6.8218512,0.0,194,mp-569945,Tb2Ni17,https://materialsproject.org/materials/mp-569945,474.65467622763555
-8.075157908157895,-306.85600051,7.839531774917992,0.08422765657894765,9.392333500000001,0.0,194,mp-1232416,Pr2Mn12Co5,https://materialsproject.org/materials/mp-1232416,523.4983271773938
-8.06355452736842,-306.41507204,7.691359883602169,0.03959329302631581,79.5922301,0.0,8,mp-1227066,CePr3Fe34,https://materialsproject.org/materials/mp-1227066,531.4445563574974
-7.921559731578947,-301.0192698,7.5088605907785535,0.027315208157894608,76.2705612,0.0,8,mp-1219956,Pr4AlFe33,https://materialsproject.org/materials/mp-1219956,538.1531530011545
-6.811187623947369,-258.82512971,8.744194154746674,-0.031722103289473884,51.1687797,0.0,8,mp-1215883,YbPr3Co34,https://materialsproject.org/materials/mp-1215883,493.6483770088859
-6.889661468421052,-261.8071358,8.695256093113553,-0.06187998578947354,21.77817065,0.0,164,mp-1227675,Ce2Co16Cu,https://materialsproject.org/materials/mp-1227675,491.4474522668074
-7.925732859999999,-317.0293144,7.932715112548211,-0.038189423437501084,72.70347609999999,0.0,8,mp-1219288,Sm4Fe27Co7C2,https://materialsproject.org/materials/mp-1219288,532.9089451314887
-7.065492355000001,-268.48870949,8.763506832477272,-0.07925286868421129,23.13101785,0.0,194,mp-2216,Ce2Co17,https://materialsproject.org/materials/mp-2216,485.8719288510713
-8.185056343684211,-311.03214106,7.966794774432173,0.008931616842104225,36.84716085,0.0,194,mp-1195962,Ce2Fe17,https://materialsproject.org/materials/mp-1195962,512.5759806238782
-1.894592264473684,-71.99450605,7.223859236774096,-0.25220179421052624,2.675e-05,0.0,194,mp-976812,Pr2Zn17,https://materialsproject.org/materials/mp-976812,640.7673790437697
-8.049580852631577,-305.8840724,8.050059975097277,0.01092607144736827,39.6881544,0.0,194,mp-1220296,NdErFe17,https://materialsproject.org/materials/mp-1220296,520.1743151443636
-8.069882908684214,-306.65555053,8.196244448242732,-0.01577698289473891,39.3576609,0.0,194,mp-1196404,Dy2Fe17,https://materialsproject.org/materials/mp-1196404,516.366452238573
-6.9416722397368416,-263.78354511,9.11326358252204,-0.0953147881578936,25.2781977,0.0,194,mp-569638,Dy2Co17,https://materialsproject.org/materials/mp-569638,483.5391791072511
-7.185846405526315,-273.06216341,8.666237015001057,-0.09596423499999973,18.14304385,0.0,164,mp-1227655,Ce2VCo16,https://materialsproject.org/materials/mp-1227655,488.2627740026347
-5.855458889210527,-222.50743779,9.320026067603193,-0.20065636500000114,6.92400465,0.0,194,mp-1197654,Dy2Ni17,https://materialsproject.org/materials/mp-1197654,471.35936479211813
-1.8614909515789475,-70.73665616,7.71963154923736,-0.2355443513157893,0.0,0.0,194,mp-30880,Tb2Zn17,https://materialsproject.org/materials/mp-30880,615.1187004827983
-7.301804744210527,-277.46858028,8.32689374722213,-0.10493495842105384,29.00389135,0.0,194,mp-1203342,Dy2Ga3Fe14,https://materialsproject.org/materials/mp-1203342,524.8698452120802
-8.178819192682926,-335.3315869,7.828609514638381,-0.0281834182012212,75.1670583,0.0,2,mp-1219344,Sm4Fe34C3,https://materialsproject.org/materials/mp-1219344,537.9579339734789
-7.7382169284210525,-294.05224328,7.503099215923146,-0.06658368250000092,57.96020649999999,0.0,2,mp-1220603,Nd4Fe29Si5,https://materialsproject.org/materials/mp-1220603,517.1882179846771
-6.784797013421053,-257.82228651,7.6946222491246035,-0.6285174334586475,13.36901275,0.0,11,mp-1213550,Eu2Ni12P5,https://materialsproject.org/materials/mp-1213550,502.0135198284034
-7.165011658947368,-272.27044304,8.692793128559837,-0.10311282421052606,19.0244008,0.0,164,mp-1227870,Ce2ZrCo16,https://materialsproject.org/materials/mp-1227870,502.1610647243737
