energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization,band_gap,sgr,mp_id,formula,URL,cell_volume
-5.684820185,-22.73928074,4.931482517,-1.785620842,0,0.6652,166,mp-22526,LiCoO2,https://materialsproject.org/materials/mp-22526,32.95599824
-5.497281913,-21.98912765,4.701613492,-1.598082569,3.7731201,0,123,mp-1222334,LiCoO2,https://materialsproject.org/materials/mp-1222334,34.56726706
-5.61224985,-22.4489994,4.880569506,-1.380109504,0,0,166,mp-27913,CoHO2,https://materialsproject.org/materials/mp-27913,31.28115504
-4.597667945,-18.39067178,4.392955873,-2.101401131,2.0214096,0,166,mp-1097040,LiCoF2,https://materialsproject.org/materials/mp-1097040,39.2632792
-5.873445163,-17.62033549,3.830954868,-0.216632104,0.1691225,0,187,mp-1246462,LiCoN,https://materialsproject.org/materials/mp-1246462,34.62461691
-5.588925816,-27.94462908,4.117062014,-0.222749013,0.7892544,0,164,mp-1247124,Li2CoN2,https://materialsproject.org/materials/mp-1247124,40.66730542
-4.49205575,-26.9523345,3.60365295,-0.199139602,0.0031299,0,216,mp-1071690,Be5Co,https://materialsproject.org/materials/mp-1071690,47.91978408
-4.833921193,-19.33568477,4.303332042,-0.259297225,0.0054515,0,139,mp-1183423,Be3Co,https://materialsproject.org/materials/mp-1183423,33.17338978
-4.87124392,-14.61373176,4.663729255,-0.014912133,0.7501744,0,69,mp-1227342,Be2Co,https://materialsproject.org/materials/mp-1227342,27.40103985
-7.846805107,-23.54041532,5.739707419,0.24917493,2.50E-06,0,160,mp-1245659,CoCN,https://materialsproject.org/materials/mp-1245659,24.57682407
-2.873054638,-11.49221855,2.351418656,0.335423435,1.164747,0,139,mp-976017,Li3Co,https://materialsproject.org/materials/mp-976017,56.32271188
-5.151829084,-25.75914542,3.581751966,-1.65087508,1,0.8842,71,mp-755133,Li2CoO2,https://materialsproject.org/materials/mp-755133,48.59290433
-5.275820434,-26.37910217,3.943941579,-1.77486643,3.0000003,2.5515,164,mp-755297,Li2CoO2,https://materialsproject.org/materials/mp-755297,44.13040283
-4.039166854,-52.5091691,2.636348584,-0.049628357,0.0001693,0,139,mp-1104193,Be12Co,https://materialsproject.org/materials/mp-1104193,105.2371577
-4.424765953,-13.27429786,1.134530937,0.138175621,1,0.917,12,mp-1181781,CoO2,https://materialsproject.org/materials/mp-1181781,133.0912386
-5.68666393,-17.05999179,3.139958309,-1.123722356,1.0000003,1.3682,166,mvc-13108,CoO2,https://materialsproject.org/materials/mvc-13108,48.08857725
-5.33588983,-26.67944915,3.48527216,-1.302230221,2.9999999,2.3773,1,mp-626708,Co(HO)2,https://materialsproject.org/materials/mp-626708,44.28451152
-5.356790294,-26.78395147,3.612727287,-1.323130685,3.0000001,2.4779,5,mp-625939,Co(HO)2,https://materialsproject.org/materials/mp-625939,42.72217714
-5.157631832,-25.78815916,3.421887263,-1.123972223,2.9999998,2.2636,156,mp-625943,Co(HO)2,https://materialsproject.org/materials/mp-625943,45.10481009
-5.21656966,-26.0828483,3.772880804,-1.182910051,3.0000003,0,164,mp-24105,Co(HO)2,https://materialsproject.org/materials/mp-24105,40.90868044
-5.681710307,-17.04513092,4.439998983,-1.118768732,1.0000001,1.1238,166,mp-1062939,CoO2,https://materialsproject.org/materials/mp-1062939,34.00814465
-5.212364037,-15.63709211,2.535494916,-0.649422462,2.6361299,0,42,mp-1062643,CoO2,https://materialsproject.org/materials/mp-1062643,59.55292071
-5.436276147,-16.30882844,1.985131486,-0.873334572,2.9731849,0,12,mp-556750,CoO2,https://materialsproject.org/materials/mp-556750,76.06353975
-4.0657173,-16.2628692,5.777660874,0.141583781,6.70E-06,0,221,mp-1183678,CoH3,https://materialsproject.org/materials/mp-1183678,17.8068676
-5.226063815,-10.45212763,7.83746666,-0.051198314,1.1781758,0,225,mp-1206874,CoH,https://materialsproject.org/materials/mp-1206874,12.69984283
-5.303452477,-15.91035743,0.874556287,-0.740510903,2.9999997,0,65,mp-1063268,CoO2,https://materialsproject.org/materials/mp-1063268,172.6545563
-6.737989985,-13.47597997,7.556150602,0.793243279,1.0591101,0,221,mp-1008985,CoN,https://materialsproject.org/materials/mp-1008985,16.02926538
-7.207104915,-14.41420983,7.528328818,0.324128349,0.1728692,0,225,mp-1009078,CoN,https://materialsproject.org/materials/mp-1009078,16.08850332
-5.986257978,-23.94503191,3.791187542,-1.631408499,5,2.1214,156,mp-755285,FeHO2,https://materialsproject.org/materials/mp-755285,38.91703626
-5.984326428,-23.93730571,4.358311749,-1.962417952,5.0000002,0.0881,123,mp-1222302,LiFeO2,https://materialsproject.org/materials/mp-1222302,36.11349299
-5.757540388,-23.03016155,4.582699653,-1.735631912,0.9999998,1.6783,166,mp-19419,LiFeO2,https://materialsproject.org/materials/mp-19419,34.34522721
-5.875161846,-29.37580923,5.178508702,-0.956408545,3.7885447,0,221,mp-1183397,CoBO3,https://materialsproject.org/materials/mp-1183397,37.7552409
-5.663696715,-22.65478686,4.081997415,-2.343254504,4,0,123,mp-775022,LiFeOF,https://materialsproject.org/materials/mp-775022,39.77803173
-4.856122765,-19.42449106,4.66112896,-1.362357887,1,0,166,mp-25411,LiNiO2,https://materialsproject.org/materials/mp-25411,34.78207567
-4.806387605,-19.22555042,4.528942707,-0.979681724,0.9999999,0.1393,8,mp-1067482,NiHO2,https://materialsproject.org/materials/mp-1067482,33.62190081
-5.012356143,-45.11120529,2.808310262,-2.327709967,3.0000001,1.8528,12,mp-850355,Li4Co(OF)2,https://materialsproject.org/materials/mp-850355,92.65162668
